file_name,area,centroid,perimeter,B,D1,D2,A1,A2
ISIC_0000000.jpg,36056,"[146, 144]",975,2.1,248,199,0.13,0.33
ISIC_0000003.jpg,27592,"[157, 139]",859,2.13,243,165,0.21,0.24
ISIC_0000006.jpg,12895,"[15, 139]",803,3.98,120,72,0.19,0.2
ISIC_0000012.jpg,7607,"[146, 154]",330,1.15,95,72,0.13,0.21
ISIC_0000021.jpg,19770,"[128, 142]",1264,6.44,239,149,0.55,0.68
ISIC_0000023.jpg,14256,"[178, 140]",606,2.05,144,123,0.21,0.27
ISIC_0000027.jpg,12833,"[138, 147]",708,3.12,166,105,0.25,0.25
ISIC_0000051.jpg,20449,"[146, 144]",959,3.58,229,145,0.35,0.26
ISIC_0000054.jpg,15522,"[145, 172]",809,3.36,174,137,0.27,0.4
ISIC_0000085.jpg,8937,"[157, 157]",797,5.66,144,99,0.39,0.41
ISIC_0000088.jpg,15981,"[146, 149]",677,2.28,219,113,0.27,0.32
ISIC_0000089.jpg,9277,"[150, 156]",558,2.68,193,76,0.4,0.41
ISIC_0000092.jpg,7913,"[157, 140]",396,1.58,109,97,0.16,0.18
ISIC_0000104.jpg,29821,"[153, 146]",696,1.3,180,174,0.17,0.09
ISIC_0000105.jpg,5415,"[143, 129]",436,2.79,119,73,0.41,0.26
ISIC_0000110.jpg,8294,"[155, 136]",383,1.41,95,81,0.14,0.13
ISIC_0000132.jpg,3413,"[147, 112]",303,2.15,84,57,0.29,0.32
ISIC_0000136.jpg,33893,"[138, 153]",1196,3.36,265,195,0.33,0.32
ISIC_0000182.jpg,21819,"[157, 155]",824,2.48,203,156,0.21,0.16
ISIC_0000184.jpg,26569,"[162, 135]",1599,7.66,231,193,0.44,0.45
ISIC_0000186.jpg,7861,"[151, 131]",410,1.71,123,87,0.14,0.21
ISIC_0000187.jpg,50736,"[162, 147]",2034,6.49,346,265,0.45,0.28
ISIC_0000205.jpg,46173,"[151, 144]",1634,4.6,281,239,0.16,0.18
ISIC_0000210.jpg,18084,"[156, 152]",360,0.57,104,89,0.05,0.05
ISIC_0000213.jpg,27376,"[135, 161]",1167,3.96,221,195,0.34,0.32
ISIC_0000221.jpg,10618,"[167, 143]",632,3.0,146,111,0.23,0.25
ISIC_0000223.jpg,36141,"[158, 155]",1567,5.41,290,200,0.27,0.27
ISIC_0000232.jpg,14215,"[143, 137]",547,1.68,174,115,0.21,0.2
ISIC_0000234.jpg,26247,"[125, 133]",1110,3.74,216,191,0.19,0.23
ISIC_0000248.jpg,33950,"[231, 153]",2981,20.83,312,265,1.19,1.33
