file_name,area,centroid,perimeter,B,D1,D2,A1,A2
ISIC_0000022.jpg,22947,"[145, 147]",1568,8.54,192,170,0.36,0.41
ISIC_0000148.jpg,11828,"[160, 144]",995,6.66,209,207,1.99,0.74
ISIC_0000150.jpg,19200,"[178, 156]",981,3.99,203,143,0.28,0.54
ISIC_0000158.jpg,27206,"[145, 202]",1966,11.31,286,267,1.33,0.82
ISIC_0000161.jpg,33531,"[159, 137]",1643,6.41,266,243,0.56,0.63
ISIC_0000162.jpg,27739,"[147, 139]",1101,3.48,278,205,0.86,0.54
ISIC_0000166.jpg,23503,"[159, 109]",1371,6.37,231,166,0.47,0.55
ISIC_0000174.jpg,15699,"[164, 159]",742,2.79,187,156,0.77,0.54
ISIC_0000395.jpg,24240,"[129, 218]",1190,4.66,168,106,0.29,0.33
ISIC_0000399.jpg,28188,"[100, 192]",1508,6.42,253,130,0.55,0.5
ISIC_0000487.jpg,26056,"[128, 149]",1691,8.74,210,206,0.59,0.62
ISIC_0000549.jpg,23771,"[162, 157]",1663,9.26,244,204,0.55,0.64
ISIC_0001101.jpg,32228,"[149, 165]",1956,9.45,257,195,0.9,0.72
ISIC_0001102.jpg,37565,"[137, 141]",979,2.03,246,207,0.26,0.27
ISIC_0009898.jpg,16991,"[130, 124]",761,2.72,166,110,0.39,0.27
ISIC_0010094.jpg,15154,"[145, 137]",673,2.38,169,132,0.27,0.25
ISIC_0010416.jpg,32808,"[160, 152]",1303,4.12,292,177,0.43,0.32
ISIC_0010548.jpg,13196,"[156, 125]",997,6.0,146,136,0.5,0.42
ISIC_0010591.jpg,33317,"[150, 148]",1137,3.09,184,144,0.24,0.26
ISIC_0010663.jpg,45516,"[148, 150]",2245,8.81,305,249,0.45,0.39
ISIC_0010783.jpg,12869,"[283, 144]",842,4.39,217,53,0.35,0.42
ISIC_0010855.jpg,42629,"[229, 111]",2074,8.03,333,199,0.89,0.74
ISIC_0010890.jpg,35874,"[209, 164]",2415,12.95,296,290,1.06,0.94
ISIC_0010909.jpg,34165,"[50, 174]",1451,4.91,280,150,0.57,0.66
ISIC_0010965.jpg,25795,"[206, 135]",1273,5.0,243,165,0.59,0.51
ISIC_0011040.jpg,10953,"[163, 146]",409,1.22,112,76,0.18,0.18
ISIC_0011057.jpg,8646,"[156, 124]",246,0.56,84,42,0.11,0.16
ISIC_0011077.jpg,31870,"[98, 190]",2087,10.88,332,204,0.86,0.74
ISIC_0011112.jpg,49696,"[146, 152]",1908,5.83,292,257,0.51,0.33
ISIC_0011118.jpg,12343,"[164, 142]",787,3.99,188,90,0.5,0.39
ISIC_0011139.jpg,27024,"[125, 134]",1423,5.97,273,98,0.46,0.4
ISIC_0011141.jpg,34510,"[47, 123]",2110,10.27,279,195,0.68,0.83
ISIC_0011187.jpg,49025,"[170, 99]",3289,17.56,406,292,0.94,1.18
ISIC_0011256.jpg,10557,"[286, 41]",460,1.6,145,76,0.55,0.39
ISIC_0011264.jpg,31924,"[141, 193]",1367,4.66,144,134,0.31,0.4
ISIC_0011267.jpg,34928,"[264, 213]",1716,6.72,217,140,0.47,0.47
ISIC_0011269.jpg,9260,"[138, 145]",558,2.68,134,104,0.63,0.4
ISIC_0011276.jpg,33606,"[138, 169]",1273,3.84,218,190,0.43,0.47
ISIC_0011286.jpg,30417,"[124, 128]",2963,22.97,351,196,0.71,1.03
ISIC_0011305.jpg,35351,"[160, 183]",989,2.2,278,111,0.34,0.52
ISIC_0011329.jpg,36433,"[202, 165]",2063,9.3,270,218,0.79,0.87
ISIC_0011334.jpg,29679,"[232, 81]",1921,9.9,202,142,0.55,0.45
ISIC_0011348.jpg,29034,"[138, 171]",1588,6.92,236,209,0.63,0.56
ISIC_0011366.jpg,25881,"[144, 153]",1053,3.41,197,172,0.25,0.34
ISIC_0011368.jpg,40277,"[200, 182]",3226,20.57,348,334,1.44,1.48
ISIC_0011381.jpg,,,,,,,,
ISIC_0011388.jpg,33734,"[100, 162]",1893,8.45,309,153,0.56,0.6
ISIC_0011390.jpg,31131,"[118, 142]",1805,8.33,332,159,0.54,0.56
ISIC_0011403.jpg,8465,"[129, 187]",785,5.8,132,89,0.57,0.46
ISIC_0011404.jpg,41512,"[178, 131]",5595,60.03,401,344,1.31,1.29
ISIC_0011437.jpg,14071,"[140, 149]",729,3.01,185,115,0.37,0.37
ISIC_0011439.jpg,25043,"[150, 148]",919,2.69,219,195,0.3,0.49
ISIC_0011488.jpg,19783,"[181, 161]",927,3.46,248,102,0.38,0.46
ISIC_0011506.jpg,37034,"[139, 137]",1688,6.13,255,243,0.37,0.52
ISIC_0011892.jpg,15013,"[151, 138]",688,2.51,161,160,0.22,0.42
